Beograd,Banja Luka,Sarajevo,Novi Sad,Zagreb,Ljubljana,Podgorica,Split,Kragujevac,Zenica
114+1,161+1,102+1,121+1,75+1,93+1,40+1,2+1,167+1,163+1
114+1,166+1,102+1,121+1,83+1,137+1,40+1,2+1,167+1,163+1
114+1,161+1,102+1,121+1,83+1,135+1,40+1,2+1,164+1,163+1
124+1,190+1,72+1,135+1,82+1,110+1,30+1,3+1,165+1,163+1
126+1,164+1,72+1,134+1,103+1,138+1,30+1,3+1,97+1,163+1
126+1,168+1,72+1,134+1,103+1,138+1,30+1,3+1,97+1,163+1
126+1,174+1,72+1,134+1,97+1,128+1,30+1,3+1,107+1,163+1
146+1,324+1,192+1,139+1,165+1,169+1,181+1,1+1,211+1,168+1
52+2,104+2,151+2,51+2,51+2,165+2,74+2,3+2,62+2,153+2
52+2,121+2,151+2,51+2,51+2,165+2,74+2,3+2,61+2,153+2
45+2,135+2,51+2,39+2,55+2,104+2,0+2,3+2,44+2,81+2
50+2,169+2,51+2,52+2,73+2,101+2,28+2,3+2,40+2,81+2
114+2,357+2,171+2,93+2,99+2,138+2,138+2,3+2,88+2,161+2
58+2,74+2,89+2,40+2,15+2,32+2,47+2,3+2,30+2,62+2
37+2,77+2,59+2,47+2,33+2,44+2,23+2,3+2,20+2,60+2
65+2,154+2,72+2,66+2,67+2,158+2,30+2,30+2,41+2,41+2
82+2,142+2,72+2,131+2,118+2,111+2,35+2,2+2,152+2,107+2
96+2,329+2,76+2,172+2,154+2,153+2,38+2,3+2,74+2,163+2
150+2,159+2,157+2,168+2,121+2,110+2,51+2,6+2,76+2,117+2
92+2,213+2,99+2,151+2,150+2,161+2,66+2,6+2,85+2,127+2
159+2,348+2,181+2,158+2,156+2,159+2,77+2,5+2,175+2,161+2
132+2,365+2,169+2,165+2,66+2,152+2,33+2,3+2,185+2,175+2
139+2,303+2,137+2,175+2,123+2,135+2,58+2,3+2,182+2,132+2
110+2,320+2,184+2,121+2,103+2,157+2,41+2,3+2,92+2,122+2
157+2,298+2,109+2,157+2,157+2,167+2,141+2,141+2,169+2,195+2
135+2,153+2,95+2,155+2,146+2,149+2,80+2,4+2,166+2,125+2
173+2,178+2,158+2,151+2,104+2,123+2,112+2,3+2,124+2,93+2
90+2,200+2,99+2,75+2,152+2,161+2,185+2,3+2,161+2,64+2
155+2,255+2,74+2,120+2,139+2,118+2,78+2,3+2,155+2,132+2
135+2,349+2,82+2,157+2,323+2,155+2,155+2,3+2,158+2,801+2
106+2,262+2,82+2,149+2,145+2,140+2,56+2,3+2,158+2,167+2
128+2,315+2,57+2,157+2,163+2,167+2,75+2,3+2,97+2,119+2
155+2,151+2,107+2,149+2,149+2,134+2,115+2,3+2,167+2,98+2
32+2,101+2,53+2,29+2,33+2,104+2,73+2,3+2,62+2,114+2
86+2,197+2,63+2,114+2,164+2,87+2,96+2,3+2,96+2,47+2
91+2,153+2,167+2,104+2,108+2,88+2,37+2,3+2,98+2,89+2
133+2,151+2,149+2,123+2,92+2,120+2,59+2,4+2,102+2,107+2
74+3,255+3,174+3,158+3,106+3,103+3,64+3,3+3,109+3,155+3
97+3,270+3,175+3,86+3,211+3,114+3,56+3,3+3,108+3,122+3
154+3,241+3,165+3,144+3,192+3,129+3,37+3,4+3,151+3,101+3
151+3,261+3,149+3,131+3,189+3,111+3,40+3,40+3,193+3,139+3
98+3,303+3,137+3,129+3,132+3,133+3,133+3,4+3,143+3,118+3
126+3,268+3,46+3,145+3,80+3,152+3,62+3,4+3,111+3,78+3
106+3,137+3,47+3,152+3,44+3,148+3,89+3,4+3,151+3,66+3
80+3,37+3,45+3,50+3,41+3,51+3,113+3,4+3,155+3,71+3
55+3,66+3,22+3,42+3,59+3,117+3,91+3,0+3,59+3,55+3
67+3,160+3,59+3,55+3,75+3,63+3,46+3,4+3,147+3,74+3
60+3,216+3,30+3,54+3,62+3,92+3,36+3,3+3,76+3,68+3
88+3,269+3,35+3,105+3,125+3,87+3,2+3,4+3,140+3,76+3
96+3,128+3,20+3,61+3,31+3,52+3,6+3,4+3,113+3,72+3
