Ljubljana,Novo Mesto,Celje,Maribor,Nova Gorica
169+1,163+1,54+1,61+1,161+1
169+1,163+1,61+1,61+1,161+1
177+2,179+2,nema podataka+2,70+2,167+2
173+2,179+2,0+2,70+2,167+2
175+2,179+2,0+2,0+2,167+2
175+2,179+2,0+2,70+2,167+2
92+2,65+2,0+2,30+2,93+2
91+2,65+2,0+2,30+2,93+2
94+2,65+2,0+2,30+2,93+2
96+2,65+2,0+2,30+2,93+2
101+2,65+2,0+2,30+2,109+2
137+2,95+2,0+2,61+2,153+2
31+2,32+2,0+2,29+2,70+2
47+2,34+2,0+2,29+2,29+2
141+2,107+2,0+2,50+2,72+2
109+2,119+2,62+2,93+2,76+2
153+2,151+2,0+2,151+2,93+2
110+2,104+2,84+2,91+2,51+2
173+2,153+2,82+2,142+2,93+2
158+2,169+2,71+2,139+2,97+2
152+2,152+2,112+2,78+2,107+2
136+2,160+2,87+2,99+2,107+2
155+2,157+2,129+2,119+2,114+2
167+2,163+2,159+2,155+2,155+2
157+2,156+2,160+2,142+2,164+2
115+2,102+2,95+2,102+2,132+2
166+2,93+2,82+2,82+2,154+2
108+2,61+2,63+2,65+2,69+2
155+2,137+2,139+2,61+2,165+2
135+2,155+2,129+2,117+2,152+2
170+2,168+2,97+2,89+2,154+2
134+2,165+2,161+2,89+2,124+2
104+2,46+2,30+2,25+2,107+2
53+2,27+2,26+2,30+2,34+2
86+2,86+2,61+2,50+2,42+2
149+2,144+2,85+2,80+2,68+2
89+3,97+3,114+3,87+3,25+3
114+3,161+3,91+3,70+3,28+3
136+3,137+3,107+3,107+3,43+3
119+3,151+3,76+3,93+3,78+3
143+3,143+3,85+3,76+3,81+3
161+3,55+3,129+3,89+3,78+3
151+3,53+3,152+3,109+3,99+3
54+3,39+3,41+3,35+3,68+3
118+3,55+3,53+3,55+3,82+3
76+3,137+3,144+3,34+3,57+3
56+3,82+3,61+3,33+3,34+3
94+3,68+3,34+3,42+3,35+3
55+3,85+3,61+3,53+3,35+3
